,scenario,id_feature,short_clear_motivation,score,model_name,model_size,environment,model_name_understanding,model_size_understanding
0,001-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function,100.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
1,001-smart_agriculture,1,"5 LoRa devices are defined in JSON BLUEPRINT, and 5 LoRa devices are present in NS-3 SOURCE CODE.",100.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
2,001-smart_agriculture,2,"2 WiFi devices are defined in JSON BLUEPRINT, and 2 WiFi devices are present in NS-3 SOURCE CODE.",100.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
3,001-smart_agriculture,3,Location coordinates for LoRa devices and WiFi AP/STA in NS-3 SOURCE CODE perfectly match those in the JSON BLUEPRINT.,100.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
4,001-smart_agriculture,4,"Traffic duration is correctly defined in NS-3 SOURCE CODE and matches the JSON BLUEPRINT experiment duration, but there is no specific traffic type definition in JSON. This means we cannot fully match the JSON on this specific traffic definition.",60.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
5,002-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function.,100.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
6,002-smart_agriculture,1,7 LoRa devices are defined in JSON and in the NS-3 code.,100.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
7,002-smart_agriculture,2,2 WiFi devices are defined in JSON and in the NS-3 code.,0.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
8,002-smart_agriculture,3,"LoRa coordinates are not fully matching (some match, some do not, some missing).",0.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
9,002-smart_agriculture,4,"Traffic duration does not match, and type is not fully matching.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
10,003-smart_agriculture,0,C++ NS3 code with main function,100.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
11,003-smart_agriculture,1,"11 LoRa devices in JSON, 10 in NS-3 code. Count mismatch",0.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
12,003-smart_agriculture,2,"2 WiFi devices in JSON, 3 in NS-3 code. Count mismatch",0.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
13,003-smart_agriculture,3,LoRa devices coordinates mismatch,0.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
14,003-smart_agriculture,4,Traffic duration mismatch,0.0,codestral-2501,large,simulated,gemini-2.0-flash-exp,large
15,001-smart_agriculture,0,NS-3 code does not have main function,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
16,001-smart_agriculture,1,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
17,001-smart_agriculture,2,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
18,001-smart_agriculture,3,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
19,001-smart_agriculture,4,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
20,002-smart_agriculture,0,NS-3 SOURCE CODE does not have a main function,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
21,002-smart_agriculture,1,"Feature 0 is 0, so score is 0",0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
22,002-smart_agriculture,2,"Feature 0 is 0, so score is 0",0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
23,002-smart_agriculture,3,"Feature 0 is 0, so score is 0",0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
24,002-smart_agriculture,4,"Feature 0 is 0, so score is 0",0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
25,003-smart_agriculture,0,NS-3 code does not have main function,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
26,003-smart_agriculture,1,Feature 0 is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
27,003-smart_agriculture,2,Feature 0 is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
28,003-smart_agriculture,3,Feature 0 is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
29,003-smart_agriculture,4,Feature 0 is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-exp,large
30,001-smart_agriculture,0,C++ code does not contain main function,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
31,001-smart_agriculture,1,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
32,001-smart_agriculture,2,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
33,001-smart_agriculture,3,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
34,001-smart_agriculture,4,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
35,002-smart_agriculture,0,NS-3 code has not main function,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
36,002-smart_agriculture,1,"Feature 0 is 0, score set to 0",0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
37,002-smart_agriculture,2,"Feature 0 is 0, score set to 0",0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
38,002-smart_agriculture,3,"Feature 0 is 0, score set to 0",0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
39,002-smart_agriculture,4,"Feature 0 is 0, score set to 0",0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
40,003-smart_agriculture,0,NS-3 source code does not contain main function,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
41,003-smart_agriculture,1,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
42,003-smart_agriculture,2,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
43,003-smart_agriculture,3,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
44,003-smart_agriculture,4,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-exp,large
45,001-smart_agriculture,0,Valid C++ NS-3 code with main function,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
46,001-smart_agriculture,1,5 LoRa devices in JSON and NS-3 code,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
47,001-smart_agriculture,2,2 WiFi devices in JSON and NS-3 code,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
48,001-smart_agriculture,3,LoRa device and Gateway coordinates match JSON blueprint,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
49,001-smart_agriculture,4,Traffic duration and type match JSON blueprint (periodic traffic),100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
50,002-smart_agriculture,0,NS-3 source code has a main function,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
51,002-smart_agriculture,1,8 LoRa devices are defined in JSON and 8 LoRa devices are created in the NS-3 code,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
52,002-smart_agriculture,2,No WiFi devices are defined in JSON and no WiFi devices are used in the NS-3 code,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
53,002-smart_agriculture,3,"All LoRa devices coordinates in JSON blueprint match coordinates in NS-3 code, also the gateway coordinates match",100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
54,002-smart_agriculture,4,Traffic duration is set to 2 hours in JSON and to 7200 seconds in NS-3 code,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
55,003-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
56,003-smart_agriculture,1,"11 LoRa devices are defined in the JSON BLUEPRINT, and the NS-3 code has 11 LoRa devices",100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
57,003-smart_agriculture,2,"2 WiFi devices are defined in the JSON BLUEPRINT, and the NS-3 code has 2 WiFi devices",100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
58,003-smart_agriculture,3,"The coordinates of the LoRa gateway and the WiFi devices match the ones in the JSON blueprint, all other LoRa devices are placed in the same coordiantes, but not defined in the blueprint",20.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
59,003-smart_agriculture,4,"The traffic duration for LoRa devices is 3 hours (10800 seconds), and for wifi devices is 10 seconds. The NS-3 code match the durations and the traffic type for WiFi (UDP), LoRa traffic is periodic but not specificied in json file",60.0,mistral-large-2411,large,simulated,gemini-2.0-flash-exp,large
60,001-smart_agriculture,0,NS-3 source code has a main function,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
61,001-smart_agriculture,1,5 LoRa devices are defined in the JSON and 5 are implemented in the NS-3 code,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
62,001-smart_agriculture,2,No WiFi devices are defined in the JSON and no WiFi devices are implemented in the NS-3 code,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
63,001-smart_agriculture,3,Location coordinates for all 5 LoRa devices match the JSON blueprint,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
64,001-smart_agriculture,4,"Traffic duration (1 hour = 3600 seconds) matches the JSON blueprint, with periodic traffic generation",100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
65,002-smart_agriculture,0,Valid C++ NS-3 code with main function,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
66,002-smart_agriculture,1,8 LoRa devices in JSON and 8 in NS-3 code,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
67,002-smart_agriculture,2,No WiFi devices declared in JSON and no WiFi code in NS-3,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
68,002-smart_agriculture,3,All 8 LoRa device coordinates match perfectly,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
69,002-smart_agriculture,4,"Traffic duration matches, periodic traffic type",100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
70,003-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
71,003-smart_agriculture,1,LoRa Devices count match,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
72,003-smart_agriculture,2,WiFi Devices not present in JSON and NS3,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
73,003-smart_agriculture,3,Location coordinates for devices in the NS-3 SOURCE-CODE perfectly match the JSON BLUEPRINT,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
74,003-smart_agriculture,4,Traffic duration and type in JSON BLUEPRINT match with NS-3 SOURCE-CODE,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-exp,large
75,001-smart_agriculture,0,NS-3 code has main function,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
76,001-smart_agriculture,1,5 LoRa devices in JSON and in NS-3 code,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
77,001-smart_agriculture,2,"No WiFi device are declared in JSON, but in the NS-3 code WiFi devices are implemented, so the score is 0",0.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
78,001-smart_agriculture,3,"All LoRa device coordinates are the same in JSON and in NS-3 code, the gateway coordinates matches",100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
79,001-smart_agriculture,4,Traffic type and duration match,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
80,002-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
81,002-smart_agriculture,1,LoRa Devices counts match,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
82,002-smart_agriculture,2,WiFi Devices counts match,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
83,002-smart_agriculture,3,Location coordinates for devices match,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
84,002-smart_agriculture,4,Traffic duration and type match,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
85,003-smart_agriculture,0,Valid C++ NS-3 code with main function found,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-exp,large
